scenario,seed,model,noise_sigma,corruption_rate,imputer,n_train,n_test,accuracy,precision,recall,f1,balanced_acc,train_time_s,peak_memory_mb,hyperparameters
clean_baseline,42,LR-Newton,0.0,0.0,none,192,48,0.8541666666666666,0.8571428571428571,0.5,0.631578947368421,0.7361111111111112,0.00434780000068713,0.06366729736328125,"{""n_iterations"": 8, ""tol"": 1e-06}"
clean_baseline,42,L2-LR,0.0,0.0,none,192,48,0.7708333333333334,0.5555555555555556,0.4166666666666667,0.47619047619047616,0.6527777777777778,0.00566880000042147,0.0326385498046875,"{""learning_rate"": 0.1, ""n_iterations"": 8, ""reg_type"": ""l2"", ""reg_lambda"": 1.0, ""class_weight"": null}"
clean_baseline,42,LDA,0.0,0.0,none,192,48,0.8541666666666666,0.8571428571428571,0.5,0.631578947368421,0.7361111111111112,0.001026800000545336,0.02974700927734375,{}
clean_baseline,42,GNB,0.0,0.0,none,192,48,0.875,1.0,0.5,0.6666666666666666,0.75,0.001247799998964183,0.02919769287109375,{}
noise_injection,13,LR-Newton,0.1,0.0,none,192,48,0.8541666666666666,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.7638888888888888,0.00484590000269236,0.064727783203125,"{""n_iterations"": 8, ""tol"": 1e-06}"
noise_injection,13,L2-LR,0.1,0.0,none,192,48,0.7708333333333334,0.5555555555555556,0.4166666666666667,0.47619047619047616,0.6527777777777778,0.005607999999483582,0.0326385498046875,"{""learning_rate"": 0.1, ""n_iterations"": 8, ""reg_type"": ""l2"", ""reg_lambda"": 1.0, ""class_weight"": null}"
noise_injection,13,LDA,0.1,0.0,none,192,48,0.8541666666666666,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.7638888888888888,0.0009734000013850164,0.02974700927734375,{}
noise_injection,13,GNB,0.1,0.0,none,192,48,0.8541666666666666,0.8571428571428571,0.5,0.631578947368421,0.7361111111111112,0.0011817000013252255,0.02919769287109375,{}
noise_injection,42,LR-Newton,0.1,0.0,none,192,48,0.8541666666666666,0.8571428571428571,0.5,0.631578947368421,0.7361111111111112,0.0041502999993099365,0.0644378662109375,"{""n_iterations"": 8, ""tol"": 1e-06}"
noise_injection,42,L2-LR,0.1,0.0,none,192,48,0.7708333333333334,0.5555555555555556,0.4166666666666667,0.47619047619047616,0.6527777777777778,0.00568320000093081,0.0326385498046875,"{""learning_rate"": 0.1, ""n_iterations"": 8, ""reg_type"": ""l2"", ""reg_lambda"": 1.0, ""class_weight"": null}"
noise_injection,42,LDA,0.1,0.0,none,192,48,0.8333333333333334,0.75,0.5,0.6,0.7222222222222222,0.0009781000007933471,0.02974700927734375,{}
noise_injection,42,GNB,0.1,0.0,none,192,48,0.875,1.0,0.5,0.6666666666666666,0.75,0.0012159999969298951,0.02919769287109375,{}
noise_injection,13,LR-Newton,0.5,0.0,none,192,48,0.7916666666666666,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.6388888888888888,0.004100800000742311,0.0644378662109375,"{""n_iterations"": 8, ""tol"": 1e-06}"
