scenario,split_ratio,seed,model,n_train,n_test,accuracy,precision,recall,f1,balanced_acc,train_time_s,peak_memory_mb,hyperparameters,noise_sigma,corruption_rate,imputer
split_sensitivity,60/40,13,LR-Newton,7200,4800,0.8239583333333333,0.7224606580829757,0.43685121107266434,0.5444743935309972,0.6918065056461016,0.05698130000382662,2.4294967651367188,"{""n_iterations"": 25, ""tol"": 1e-06}",,,
split_sensitivity,60/40,13,L2-LR,7200,4800,0.823125,0.7274074074074074,0.42474048442906576,0.5363189513926816,0.6871232608753453,0.4572524999966845,1.2529592514038086,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}",,,
split_sensitivity,60/40,13,LDA,7200,4800,0.8135416666666667,0.702954898911353,0.39100346020761245,0.5025013896609227,0.6692942657788885,0.013706499943509698,1.1852340698242188,{},,,
split_sensitivity,60/40,13,GNB,7200,4800,0.7897916666666667,0.634862385321101,0.29930795847750863,0.40681951793062904,0.6223488200730024,0.0038879000348970294,1.0659866333007812,{},,,
split_sensitivity,60/40,42,LR-Newton,7200,4800,0.8302083333333333,0.7276368491321762,0.47145328719723184,0.5721784776902887,0.7077354251573426,0.14470270002493635,2.430999755859375,"{""n_iterations"": 25, ""tol"": 1e-06}",,,
split_sensitivity,60/40,42,L2-LR,7200,4800,0.8270833333333333,0.7295774647887324,0.44809688581314877,0.5551982851018221,0.6977037667265524,0.410101699992083,1.2544078826904297,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}",,,
split_sensitivity,60/40,42,LDA,7200,4800,0.8183333333333334,0.7057971014492753,0.421280276816609,0.5276273022751896,0.6827861318221354,0.00483760004863143,1.1852340698242188,{},,,
split_sensitivity,60/40,42,GNB,7200,4800,0.80625,0.7132075471698113,0.32698961937716264,0.4483985765124555,0.6426386077127306,0.0021924999891780317,1.0659866333007812,{},,,
split_sensitivity,60/40,77,LR-Newton,7200,4800,0.8264583333333333,0.7185385656292287,0.4593425605536332,0.5604221635883905,0.7011312144151262,0.03385870001511648,2.430999755859375,"{""n_iterations"": 25, ""tol"": 1e-06}",,,
split_sensitivity,60/40,77,L2-LR,7200,4800,0.8247916666666667,0.7240398293029872,0.4403114186851211,0.5476062399139322,0.69353660945233,0.6159832999692298,1.25634765625,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}",,,
split_sensitivity,60/40,77,LDA,7200,4800,0.8125,0.6887905604719764,0.4039792387543253,0.5092693565976009,0.6730379179501593,0.004915800003800541,1.1852340698242188,{},,,
split_sensitivity,60/40,77,GNB,7200,4800,0.790625,0.6345811051693404,0.3079584775086505,0.4146767617938264,0.6258508084579476,0.005493399978149682,1.0659866333007812,{},,,
split_sensitivity,60/40,123,LR-Newton,7200,4800,0.8364583333333333,0.751696065128901,0.47923875432525953,0.5853143159006867,0.7145096076785463,0.06841610005358234,2.430999755859375,"{""n_iterations"": 25, ""tol"": 1e-06}",,,
split_sensitivity,60/40,123,L2-LR,7200,4800,0.8341666666666666,0.7542372881355932,0.4619377162629758,0.5729613733905579,0.707093995343343,0.5576633000164293,1.2539348602294922,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}",,,
split_sensitivity,60/40,123,LDA,7200,4800,0.8252083333333333,0.736214605067064,0.4273356401384083,0.5407772304324029,0.6893813217157464,0.007393100007902831,1.1852340698242188,{},,,
split_sensitivity,60/40,123,GNB,7200,4800,0.8020833333333334,0.6900369003690037,0.3235294117647059,0.44051825677267376,0.6387131142248338,0.017250699980650097,1.0659866333007812,{},,,
split_sensitivity,60/40,2026,LR-Newton,7200,4800,0.831875,0.7569955817378498,0.444636678200692,0.5602179836512261,0.6996783830081397,0.12623779999557883,2.430999755859375,"{""n_iterations"": 25, ""tol"": 1e-06}",,,
split_sensitivity,60/40,2026,L2-LR,7200,4800,0.8272916666666666,0.7534883720930232,0.4204152249134948,0.5397001665741255,0.6883909274951667,0.5830328000010923,1.2530288696289062,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}",,,
split_sensitivity,60/40,2026,LDA,7200,4800,0.82,0.739344262295082,0.39013840830449825,0.5107587768969423,0.6732525191906684,0.006124700012151152,1.1852340698242188,{},,,
split_sensitivity,60/40,2026,GNB,7200,4800,0.8020833333333334,0.7068273092369478,0.3044982698961938,0.42563482466747277,0.6322162041028718,0.004436299961525947,1.0659866333007812,{},,,
split_sensitivity,70/30,13,LR-Newton,8400,3600,0.8225,0.7209302325581395,0.4290657439446367,0.5379609544468547,0.6881881957922964,0.032547400041949004,2.8246612548828125,"{""n_iterations"": 25, ""tol"": 1e-06}",,,
split_sensitivity,70/30,13,L2-LR,8400,3600,0.8205555555555556,0.7214428857715431,0.41522491349480967,0.527086383601757,0.6821825262680781,0.7801870999974199,1.4605331420898438,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}",,,
split_sensitivity,70/30,13,LDA,8400,3600,0.8133333333333334,0.7133479212253829,0.3760092272202999,0.4924471299093656,0.6640382762519356,0.008253299980424345,1.3818511962890625,{},,,
split_sensitivity,70/30,13,GNB,8400,3600,0.7930555555555555,0.6525,0.30103806228373703,0.4119968429360694,0.6250891006625418,0.05456179997418076,1.2327957153320312,{},,,
split_sensitivity,70/30,42,LR-Newton,8400,3600,0.8277777777777777,0.726605504587156,0.45674740484429066,0.5609065155807365,0.7011142805414281,0.036020100000314415,2.8246612548828125,"{""n_iterations"": 25, ""tol"": 1e-06}",,,
split_sensitivity,70/30,42,L2-LR,8400,3600,0.8241666666666667,0.7241379310344828,0.4359861591695502,0.5442764578833694,0.6916484034047532,0.523700000019744,1.4609088897705078,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}",,,
split_sensitivity,70/30,42,LDA,8400,3600,0.8163888888888889,0.706,0.4071510957324106,0.5164594001463058,0.6766820242657663,0.004768199985846877,1.3818511962890625,{},,,
split_sensitivity,70/30,42,GNB,8400,3600,0.7980555555555555,0.6767676767676768,0.3091118800461361,0.4243863816310372,0.6311384500852708,0.004856000014115125,1.2327957153320312,{},,,
split_sensitivity,70/30,77,LR-Newton,8400,3600,0.8219444444444445,0.703971119133574,0.44982698961937717,0.5489092188599578,0.6949098358268858,0.03353319998132065,2.8246612548828125,"{""n_iterations"": 25, ""tol"": 1e-06}",,,
split_sensitivity,70/30,77,L2-LR,8400,3600,0.8213888888888888,0.7145593869731801,0.4302191464821223,0.5370770338372931,0.687850151360344,0.5337582000065595,1.4589080810546875,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}",,,
split_sensitivity,70/30,77,LDA,8400,3600,0.81,0.6797642436149313,0.3990772779700115,0.502906976744186,0.6697179291423421,0.008595099963713437,1.3818511962890625,{},,,
split_sensitivity,70/30,77,GNB,8400,3600,0.7891666666666667,0.6291866028708134,0.3033448673587082,0.4093385214007782,0.6233153169578027,0.004159600008279085,1.2327957153320312,{},,,
split_sensitivity,70/30,123,LR-Newton,8400,3600,0.8341666666666666,0.7490774907749077,0.4682814302191465,0.5762952448545067,0.7092596320506637,0.08076609997078776,2.8246612548828125,"{""n_iterations"": 25, ""tol"": 1e-06}",,,
split_sensitivity,70/30,123,L2-LR,8400,3600,0.8311111111111111,0.7504835589941973,0.447520184544406,0.5606936416184971,0.7001596531942667,0.41438819997711107,1.4591045379638672,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}",,,
split_sensitivity,70/30,123,LDA,8400,3600,0.8233333333333334,0.7352342158859471,0.41637831603229525,0.5316642120765831,0.6844057697980723,0.003137800027616322,1.3818511962890625,{},,,
split_sensitivity,70/30,123,GNB,8400,3600,0.8025,0.6959798994974874,0.31949250288350634,0.4379446640316205,0.6376094054849292,0.0033431999618187547,1.2327957153320312,{},,,
split_sensitivity,70/30,2026,LR-Newton,8400,3600,0.8338888888888889,0.7561904761904762,0.45790080738177624,0.5704022988505748,0.7055329137530908,0.021223200019448996,2.8246612548828125,"{""n_iterations"": 25, ""tol"": 1e-06}",,,
split_sensitivity,70/30,2026,L2-LR,8400,3600,0.8288888888888889,0.7525150905432596,0.43137254901960786,0.5483870967741936,0.6931835302727019,0.5789031000458635,1.460540771484375,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}",,,
split_sensitivity,70/30,2026,LDA,8400,3600,0.8213888888888888,0.7413793103448276,0.39677047289504036,0.5169045830202855,0.6764313396308352,0.001972900005057454,1.3818511962890625,{},,,
split_sensitivity,70/30,2026,GNB,8400,3600,0.8016666666666666,0.6976744186046512,0.31141868512110726,0.430622009569378,0.6343042931642857,0.002253900049254298,1.2327957153320312,{},,,
split_sensitivity,80/20,13,LR-Newton,9600,2400,0.8195833333333333,0.699724517906336,0.43944636678200694,0.5398512221041445,0.6898109989782703,0.04351280000992119,3.2183380126953125,"{""n_iterations"": 25, ""tol"": 1e-06}",,,
split_sensitivity,80/20,13,L2-LR,9600,2400,0.8191666666666667,0.7057142857142857,0.4273356401384083,0.5323275862068966,0.6854021779177223,0.9887126000248827,1.657379150390625,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}",,,
split_sensitivity,80/20,13,LDA,9600,2400,0.8120833333333334,0.6990595611285266,0.38581314878892736,0.49721293199554073,0.6665618982144417,0.005163700028788298,1.5784683227539062,{},,,
split_sensitivity,80/20,13,GNB,9600,2400,0.7879166666666667,0.6263736263736264,0.2958477508650519,0.4018801410105758,0.6199326569912527,0.027548099984414876,1.3996047973632812,{},,,
split_sensitivity,80/20,42,LR-Newton,9600,2400,0.8220833333333334,0.7091412742382271,0.4429065743944637,0.5452609158679446,0.6926387976253328,0.03439049998996779,3.2183380126953125,"{""n_iterations"": 25, ""tol"": 1e-06}",,,
split_sensitivity,80/20,42,L2-LR,9600,2400,0.8195833333333333,0.7101449275362319,0.42387543252595156,0.5308775731310943,0.6844953452421195,0.6882796999998391,1.6576766967773438,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}",,,
split_sensitivity,80/20,42,LDA,9600,2400,0.8133333333333334,0.698170731707317,0.3961937716262976,0.5055187637969095,0.6709289385025011,0.004697100026533008,1.5784683227539062,{},,,
split_sensitivity,80/20,42,GNB,9600,2400,0.79125,0.6452830188679245,0.2958477508650519,0.4056939501779359,0.6221280466729211,0.006355400022584945,1.3996047973632812,{},,,
split_sensitivity,80/20,77,LR-Newton,9600,2400,0.8216666666666667,0.711864406779661,0.4359861591695502,0.5407725321888412,0.6900018611435017,0.052282200020272285,3.2183380126953125,"{""n_iterations"": 25, ""tol"": 1e-06}",,,
split_sensitivity,80/20,77,L2-LR,9600,2400,0.82375,0.7286135693215339,0.4273356401384083,0.5387131952017448,0.6884208387300165,0.6402672999538481,1.6576766967773438,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}",,,
split_sensitivity,80/20,77,LDA,9600,2400,0.8116666666666666,0.6909090909090909,0.3944636678200692,0.5022026431718061,0.6692406154687612,0.004430400033015758,1.5784683227539062,{},,,
split_sensitivity,80/20,77,GNB,9600,2400,0.78875,0.6319702602230484,0.29411764705882354,0.4014167650531287,0.6198908762187642,0.003563900012522936,1.3996047973632812,{},,,
split_sensitivity,80/20,123,LR-Newton,9600,2400,0.8358333333333333,0.7473118279569892,0.4809688581314879,0.5852631578947368,0.7146886003061391,0.06538270000601187,3.2183380126953125,"{""n_iterations"": 25, ""tol"": 1e-06}",,,
