corruption_rate,imputer,model,f1,clean_f1,f1_drop_from_clean
0.0,knn,GNB,0.40933098591549294,0.40933098591549294,0.0
0.0,knn,L2-LR,0.5347334410339257,0.5347334410339257,0.0
0.0,knn,LDA,0.5020678246484698,0.5020678246484698,0.0
0.0,knn,LR-Newton,0.5524337158686189,0.5524337158686189,0.0
0.0,mean,GNB,0.40933098591549294,0.40933098591549294,0.0
0.0,mean,L2-LR,0.5347334410339257,0.5347334410339257,0.0
0.0,mean,LDA,0.5020678246484698,0.5020678246484698,0.0
0.0,mean,LR-Newton,0.5524337158686189,0.5524337158686189,0.0
0.0,median,GNB,0.40933098591549294,0.40933098591549294,0.0
0.0,median,L2-LR,0.5347334410339257,0.5347334410339257,0.0
0.0,median,LDA,0.5020678246484698,0.5020678246484698,0.0
0.0,median,LR-Newton,0.5524337158686189,0.5524337158686189,0.0
0.1,knn,GNB,0.39895335189851383,0.40933098591549294,0.01037763401697911
0.1,knn,L2-LR,0.516415044757602,0.5347334410339257,0.0183183962763237
0.1,knn,LDA,0.4841397292801644,0.5020678246484698,0.017928095368305363
0.1,knn,LR-Newton,0.5320972123767662,0.5524337158686189,0.020336503491852675
0.1,mean,GNB,0.3948052832880072,0.40933098591549294,0.01452570262748576
0.1,mean,L2-LR,0.5119686265844459,0.5347334410339257,0.022764814449479864
0.1,mean,LDA,0.4756687237405943,0.5020678246484698,0.02639910090787545
0.1,mean,LR-Newton,0.5284391584156858,0.5524337158686189,0.023994557452933107
0.1,median,GNB,0.39435343088345337,0.40933098591549294,0.014977555032039569
0.1,median,L2-LR,0.5053217462769267,0.5347334410339257,0.029411694756999007
0.1,median,LDA,0.47005611543682,0.5020678246484698,0.03201170921164975
0.1,median,LR-Newton,0.5255273585000149,0.5524337158686189,0.026906357368604028
0.2,knn,GNB,0.38688095444029685,0.40933098591549294,0.022450031475196086
0.2,knn,L2-LR,0.4897402095619482,0.5347334410339257,0.044993231471977535
0.2,knn,LDA,0.4607551606630579,0.5020678246484698,0.04131266398541189
0.2,knn,LR-Newton,0.5089816149009854,0.5524337158686189,0.04345210096763352
0.2,mean,GNB,0.37776209110265385,0.40933098591549294,0.03156889481283909
0.2,mean,L2-LR,0.48209743182252585,0.5347334410339257,0.05263600921139988
0.2,mean,LDA,0.44603375311669435,0.5020678246484698,0.05603407153177542
0.2,mean,LR-Newton,0.5058947685108677,0.5524337158686189,0.046538947357751215
0.2,median,GNB,0.3776178894660928,0.40933098591549294,0.031713096449400124
0.2,median,L2-LR,0.4779350451533043,0.5347334410339257,0.05679839588062141
0.2,median,LDA,0.4431036212544834,0.5020678246484698,0.05896420339398639
0.2,median,LR-Newton,0.501117395908647,0.5524337158686189,0.05131631995997188
0.3,knn,GNB,0.3616866224299033,0.40933098591549294,0.04764436348558965
0.3,knn,L2-LR,0.45785223042379875,0.5347334410339257,0.07688121061012698
0.3,knn,LDA,0.42853063913051825,0.5020678246484698,0.07353718551795152
0.3,knn,LR-Newton,0.4782258094384009,0.5524337158686189,0.07420790643021802
0.3,mean,GNB,0.35635994323807213,0.40933098591549294,0.05297104267742081
0.3,mean,L2-LR,0.4508172182160708,0.5347334410339257,0.08391622281785494
0.3,mean,LDA,0.4128858547981726,0.5020678246484698,0.0891819698502972
0.3,mean,LR-Newton,0.4792170555696706,0.5524337158686189,0.0732166602989483
0.3,median,GNB,0.35740468274796783,0.40933098591549294,0.05192630316752511
0.3,median,L2-LR,0.44507004515468057,0.5347334410339257,0.08966339587924516
0.3,median,LDA,0.4106119609290502,0.5020678246484698,0.09145586371941955
0.3,median,LR-Newton,0.47163126635560787,0.5524337158686189,0.08080244951301102
