noise_sigma,model,f1,clean_f1,f1_drop_from_clean
0.0,GNB,0.40933098591549294,0.40933098591549294,0.0
0.0,L2-LR,0.5347334410339257,0.5347334410339257,0.0
0.0,LDA,0.5020678246484698,0.5020678246484698,0.0
0.0,LR-Newton,0.5524337158686189,0.5524337158686189,0.0
0.1,GNB,0.40822346980948987,0.40933098591549294,0.0011075161060030703
0.1,L2-LR,0.5340189355025743,0.5347334410339257,0.0007145055313514392
0.1,LDA,0.5025213622139997,0.5020678246484698,-0.00045353756552990454
0.1,LR-Newton,0.550776507836917,0.5524337158686189,0.0016572080317018845
0.5,GNB,0.39103635001999304,0.40933098591549294,0.0182946358954999
0.5,L2-LR,0.48647412182263006,0.5347334410339257,0.04825931921129567
0.5,LDA,0.45218997030329033,0.5020678246484698,0.04987785434517944
0.5,LR-Newton,0.49063204160984253,0.5524337158686189,0.06180167425877636
1.0,GNB,0.3566855797329517,0.40933098591549294,0.052645406182541266
1.0,L2-LR,0.3649050847430473,0.5347334410339257,0.16982835629087845
1.0,LDA,0.3441472949148338,0.5020678246484698,0.15792052973363596
1.0,LR-Newton,0.36341633360341696,0.5524337158686189,0.18901738226520193
