,,train_time_s,train_time_s,train_time_s,peak_memory_mb,peak_memory_mb,peak_memory_mb
,,mean,std,max,mean,std,max
scenario,model,,,,,,
clean_baseline,GNB,0.0074,,0.0074,3.6865,,3.6865
clean_baseline,L2-LR,0.5769,,0.5769,4.4547,,4.4547
clean_baseline,LDA,0.0074,,0.0074,4.2744,,4.2744
clean_baseline,LR-Newton,0.0565,,0.0565,8.6141,,8.6141
feature_corruption,GNB,0.0076,0.0022,0.0126,3.4561,0.9018,3.6865
feature_corruption,L2-LR,0.5456,0.1609,0.9357,4.1761,1.0897,4.4558
feature_corruption,LDA,0.0069,0.0019,0.0093,4.0073,1.0456,4.2744
feature_corruption,LR-Newton,0.0527,0.0165,0.0785,8.0754,2.1071,8.6149
noise_injection,GNB,0.0082,0.0007,0.0101,3.6865,0.0,3.6865
noise_injection,L2-LR,0.6021,0.0374,0.661,4.4544,0.0006,4.4556
noise_injection,LDA,0.0076,0.0005,0.0092,4.2745,0.0002,4.2751
noise_injection,LR-Newton,0.0702,0.0196,0.1152,8.6148,0.0003,8.6152
split_sensitivity,GNB,0.0072,0.0007,0.0083,3.2339,0.3825,3.6865
split_sensitivity,L2-LR,0.5405,0.0596,0.6325,3.9079,0.4622,4.4557
split_sensitivity,LDA,0.0068,0.0008,0.0084,3.741,0.4508,4.2744
split_sensitivity,LR-Newton,0.0653,0.0174,0.1114,7.5459,0.9029,8.6142
